Judul Berita,Isi Berita,Tanggal Berita,Kategori Berita
"Berapa Gaji dan Tunjangan Guru PNS, PPPK, dan Honorer 2025?"," KOMPAS.com - Presiden Prabowo Subianto mengumumkan kenaikan tunjangan bagi guru yang berstatus pegawai negeri sipil (PNS), Pegawai Pemerintah dengan Perjanjian Kerja (PPPK), dan honorer mulai tahun 2025.""Hari ini saya agak tenang berdiri di hadapan para guru karena saya bisa menyampaikan bahwa kita walaupun baru berkuasa satu bulan, kami sudah bisa mengumumkan bahwa kesejahteraan guru bisa kita tingkatkan,"" tegas Prabowo dalam sambutannya, yang dilansir dari tayangan YouTube Kemdikdasmen (Kementerian Pendidikan Dasar dan Menengah) saat Puncak Peringatan Hari Guru Nasional 2024.Baca juga: Tidak Semua Guru Honorer Naik Tunjangannya di 2025, Ini KetentuannyaRincian kenaikan tunjangan profesi ini sebesar satu kali gaji untuk guru ASN dan Rp 2 juta untuk guru non-ASN yang telah ikut sertifikasi/pendidikan profesi guru (PPG).""Guru ASN mendapatkan tambahan kesejahteraan sebesar 1 kali gaji pokok. Guru-guru non-ASN nilai tunjangan profesinya ditingkatkan menjadi Rp 2 juta,"" ungkap Prabowo.Besaran gaji pokok guru ASN saat ini sesuai dengan Peraturan Pemerintah Nomor 5 Tahun 2024. Sehingga, pada tahun 2025, gaji pokok (gapok) yang diterima masih mengikuti aturan ini.Golongan I:Golongan II:Golongan III:Golongan IV:Sementara itu, gaji guru PPPK berdasarkan Peraturan Presiden Nomor 11 Tahun 2024 adalah sebagai berikut:Sementara, gaji guru honorer atau non-ASN itu bervariatif, tergantung dari lokasi guru itu mengajar.Baca juga: Berapa Kenaikan Tunjangan Guru mulai 2025? Guru honorer ada yang ditempatkan di sekolah negeri dan ada yang mengajar di sekolah swasta.Guru sekolah swasta mendapatkan gaji sesuai aturan dari yayasan yang menaungi sekolah.Karena itu, gajinya juga berbeda-beda. Rata-rata ada yang digaji ratusan ribu rupiah per bulan. Bahkan, ada yang dirapel gajinya mengikuti pencairan dana BOS. Selain gaji pokok, tunjangan profesi bagi guru yang berstatus ASN adalah satu kali gaji pokok. Kemudian, guru berstatus ASN di daerah yang belum mendapatkan TPG bisa mendapatkan tambahan penghasilan sebesar Rp 250.000 setiap bulannya.",30/11/2024,EDUKASI
"Duga Ada Pelanggaran, Bawaslu Sumsel Rekomendasikan PSU di Palembang, Pagar Alam, dan OKI","PALEMBANG, KOMPAS.com - Sebanyak empat tempat pemungutan suara (TPS) di Palembang direkomendasikan oleh Badan Pengawas Pemilihan Umum (Bawaslu) Sumatera Selatan untuk dilakukan Pemungutan Suara Ulang (PSU).Selain di Palembang, satu TPS di Kota Pagar Alam juga diminta untuk dilakukan PSU, baik pemilihan wali kota maupun gubernur.Kemudian, PSU juga direkomendasikan di dua TPS Kabupaten Ogan Komering Ilir (OKI).Adapun empat TPS di Palembang yang direkomendasikan PSU tersebut adalah TPS 15 di kawasan Kebun Bunga, TPS 25 Lebung Gajah dan TPS 35 di 5 Ulu, serta satu TPS Kecamatan Sako.Baca juga: Satu Orang 2 Kali Nyoblos, 1 TPS di Warnasari Sukabumi PSU PilkadaSementara itu, di Kota Pagar Alam PSU dilaksanakan di TPS 5 Sidoarjo. Lalu, dua TPS di Kabupaten OKI, yakni TPS Sungai Menang dan Air Sugihan.Ketua Bawaslu Sumatera Selatan Kurniawan mengatakan, rekomendasi PSU tersebut lantaran ditemukan adanya indikasi pelanggaran saat hari pencoblosan.Indikasi pencoblosan itu berupa adanya pemilih yang mencoblos diwakilkan orang lain hingga adanya penggunaan hak suara di luar wilayah.""Rekomendasi sudah kami sampaikan ke KPU wilayah masing-masing untuk di proses. Paling lama dilakukan 10 hari setelah pemungutan suara untuk PSU,"" kata Kurniawan, Sabtu (30/11/2024).Kurniawan menjelaskan, Bawaslu saat ini masih menyelidiki dugaan adanya TPS lain yang terindikasi adanya pelanggaran. Bila ditemukan, tidak menutup kemungkinan PSU juga akan dilakukan.""Masih bisa bertambah karena ada dugaan pelanggaran di daerah lain. Kita masih menunggu laporan,"" ujarnya.Sementara itu, Komisioner KPU Sumsel Divisi Teknis dan Penyelenggaraan Handoko membenarkan telah menerima rekomendasi dari Bawaslu untuk melaksanakan PSU.Menurut Andika, dari tujuh rekomendasi tersebut, enam di antaranya untuk pemilihan gubernur.Menurutnya, jajaran KPU Kabupaten Kota saat ini masih mengkaji apakah terpenuhi syarat- syarat untuk melaksanakan PSU tersebut sebelum dirapatkan pleno oleh KPU.Baca juga: 2 Pemilih Tambahan Coblos 2 Surat Suara, 1 TPS di Kota Kendari Gelar PSU Pilkada""Kita belum tahu apakah tujuh TPS itu akan digelar PSU semua atau tidak karena menunggu KPU Kabupaten Kota,"" katanya.Selain itu, sejauh ini pelaksanaan pencoblosan dan penghitungan suara di tingkat TPS yang dilakukan pada 27 November lalu masih relatif lancar.""Nantinya akan dikaji sesuai PKPU Nomor 15 tentang proses penyelesaian sengketa. Ada ruangnya apa yang dilakukan KPU kota dan provinsi, karena menyangkut dua pemilihan. Sejauh ini baru satu di Pagar Alam untuk PSU,"" katanya.",30/11/2024,REGIONAL
Jenazah Bob Bryar Baru Ditemukan Setelah Beberapa Hari Meninggal Dunia,"KOMPAS.com- Jenazah Bob Bryar, mantan drummer My Chemical Romance ditemukan dalam kondisi sudah membusuk di kediamannya, di Tennessee, Kamis (25/11/2024).Bob Bryar terakhir kali terlihat beraktivitas pada 4 November 2024.Jenazah Bob baru ditemukan setelah agen dari layanan pengendali hewan datang ke lokasi untuk mengambil dua ekor anjing.Saat ditemukan, kondisi jasad Bob sudah membusuk, sehingga diketahui bahwa jasad tersebut sudah mati selama beberapa hari.TMZ melaporkan, bahwa kematiannya tidak diduga terkait dengan kejahatan apa pun.Baca juga:  Bob Bryar, Mantan Drummer My Chemical Romance Meninggal DuniaIni karena semua barang miliknya, seperti senjata dan peralatan musiknya, masih utuh, sehingga mengurangi spekulasi yang ada.Pemeriksa medis akan melakukan autopsi untuk menentukan penyebab kematian.Bryar adalah drummer resmi terakhir band tersebut, yang mulai populer pada pertengahan tahun 2000-an, tampil bersama mereka antara tahun 2004 dan 2010.Bryar bertemu dengan band yang terdiri dari Gerard Way, Ray Toro, Mikey Way, dan Frank Iero, saat bekerja sebagai teknisi suara tur untuk The Used, yang saat itu sedang melakukan tur bersama My Chemical Romance.Ia menggantikan mantan drummer band tersebut, Matt Pelissier, tak lama setelah merilis album kedua mereka Three Cheers for Sweet Revenge.Menurut Billboard, Bryar diminta untuk menggantikan Pelissier pada pertengahan tahun 2004.Bryar terus melakukan tur dengan band tersebut sebagai bagian dari album studio ketiga mereka yang mendapat pujian kritikus, The Black Parade.Selama bergabung bersama band tersebut, ia pernah beberapa kali cedera.Bryar menderita luka bakar tingkat tiga saat tangan dan kakinya terbakar saat syuting video Famous Last Words, di mana Gerard Way juga mengalami robekan ligamen di pergelangan kakinya, yang menyebabkan band tersebut membatalkan jadwal tur.Saat tur pada tahun 2007, Bryar juga mulai mengalami masalah dengan pergelangan tangannya, dan mengatakan kepada para pengikutnya di MySpace bahwa ia memiliki ""benjolan seukuran bola golf"" di pergelangan tangannya. NME melaporkan, kondisi tersebut menyebabkan rasa sakit dan membuat Bob kehilangan kendali serta perasaan pada jari-jarinya.Tidak lama setelah album keempat My Chemical Romance, Danger Days: The True Lives of the Fabulous Killjoys, dirilis pada tahun 2010, Bryar meninggalkan band tersebut.",30/11/2024,HYPE
Tiket Terusan Garuda Indonesia Travel Festival 2024 Ludes dalam 10 Menit,"JAKARTA, KOMPAS.com - Tiket terusan Garuda Indonesia Travel Festival (GATF) 2024 habis terjual tak lebih dari 10 menit. Adapun pameran perjalanan ini diadakan dari Jumat (29/11/2024) sampai Minggu (1/12/2024) di Istora Senayan, Jakarta Pusat.""Tiket bundling untuk masuk pameran dan festival konser seharga Rp 450.000 sudah terjual dalam waktu kurang dari 10 menit,"" ucap Ketua GATF 2024, Sasqia Pristia saat ditemui Kompas.com, Jumat (29/11/2024).Baca juga:Sebagai informasi, GATF 2024 menjual tiket dalam beberapa kategori. Salah satunya tiket bundling masuk pameran sekaligus konser yang harganya berkisar dari Rp 350.000 sampai Rp 450.000. Kategori inilah yang sudah habis terjualAdapun kategori tiket yang paling murah adalah tiket reguler seharga mulai Rp 50.000 per orang per hari.""Hari pertama dan kedua GATF 2024 dilengkapi dengan penampilan artis, pengunjung cukup bayar Rp 50.000 untuk masuk pameran,"" kata Sasqia.""Khusus hari ketiga GATF 2024, ada bundle tiket untuk masuk pameran dan menonton konser,"" lanjut dia.Baca juga: 3 Tips Dapat Tiket Pesawat Murah di Garuda Indonesia Travel Festival 2024Dok. Kementerian Pariwisata Pengunjung Garuda Indonesia Travel Festival 2024 di Istora Senayan, Jakarta Pusat, pada Jumat (29/11/2024). Dengan ludesnya tiket pameran dan festival konser, alhasil pengunjung hanya bisa membeli tiket masuk pameran Rp 50.000 bila ingin datang ke GATF 2024 tanpa menonton konser.Adapun tiket masuk reguler dan festival musik (early bird) sudah dijual sejak Senin (25/11/2024), serta tiket masuk regular dan festival musik (reguler) dijual sejak hari pertama pameran.Baca juga: Garuda Indonesia Travel Festival 2024 Digelar Hari Ini, Beri Aneka Promo dan CashbackGATF 2024 hadir dalam konsep berbeda dibanding pameran perjalanan sebelumnya. Selain promo tiket pesawat, ada juga area kuliner dengan puluhan stan makanan serta minuman, perlengkapan perjalanan wisata, juga panggung konser musik di luar gedung.Tiket yang dijual juga kian mahal karena pengunjung bisa menikmati penampilan musisi dan grup band, antara lain Blackline, Diskopantera, Om Leo & El Rumi, dan Sheila On 7.Baca juga: A post shared by Kompas Travel (@kompas.travel)",30/11/2024,TRAVEL
Hybrid Sumbang 92 Persen Penjualan Lexus di Indonesia,"JAKARTA, KOMPAS.com - Lexus Indonesia mengatakan bakal lebih fokus pada mobil hybrid. Hal ini sudah terlihat sejak tahun lalu di mana merek mewah Jepang ini lebih gencar jualan mobil hibrida.Bansar Manduma, General Manager Lexus Indonesia mengatakan, saat ini mayoritas model Lexus yang dijual di Indonesia berjantung hybrid. Pun dengan penjualannya lebih banyak hybrid.Baca juga: Bus Baru PO Pesona Transport, Pakai Speaker Premium""Dari 10 model tersebut 8 modelnya hybrid. Jadi sebetulnya 80 persen model kami sudah hybrid. Tapi kalau secara komposisi, 92 persen penjualan Lexus di hybrid. Kemudian plug in hybrid (PHEV) 3 persen, BEV 5 persen,"" ujar Bansar kepada Kompas.com, di GJAW 2024 belum lama ini.Foto: KOMPAS.com/Adityo Wisnu Test drive Lexus LBXBansar mengatakan, mulai tahun ini beberapa penjualan model bensin sudah dihentikan. Salah satu contohnya ialah Lexus ES dan Lexus RX yang kini hanya dijual dalam tipe hybrid.""Sebetulnya bukan ditinggalkan tapi kami memang menuju teknologi ramah lingkungan, di mana kami ingin memaksimalkan teknologi ini,"" kata Bansar.""Kami coba hadirkan semua varian dari ICE (mobil konvensional), seperti ES, RX kami hadirkan. Tapi kemudian kami lihat orang sudah bisa beralih dari ICE ke HEV, karena itu kami sudah setop penjualan yang ICE, ES sudah tidak ada ICE lagi, RX sudah tidak ada ICE lagi,"" katanya.Baca juga: Ketahui Tanda Pompa Bahan Bakar Mobil Perlu Diganti Kompas.com/Donny Lexus LM jadi salah satu primadona di GIIAS 2024""RX tahun ini sudah setop (yang bensin), tahun lalu RX yang meluncur masih ada ICE, tapi kami melihat dari komposisi permintaan sudah berkurang dan orang beralih ke hybrid,"" ujar Bansar.Baca juga: Benarkah Ganti Oli Mesin Hanya Gimik Marketing Bengkel?Namun demikian bukan berarti Lexus Indonesia sepenuhnya meninggalkan mobil bahan bakar konvensional. Bansar mengatakan, masih ada kebutuhan konsumen yang perlu dipenuhi di segmen itu.""Tapi kembali kalau masih ada permintaan untuk model yang ada ICE-nya kami akan penuhi kebutuhan itu,"" kata Bansar.Kompas.com/Donny Lexus Electrified Sport Concept di GIIAS 2024""Sambil kami edukasi bahwa teknologi hybrid secara performa sama tapi ada banyak kenuntungan termasuk di emisi gas buang. Mestinya konsumen akan berpindah sendiri tanpa kami paksa,"" katanya.Bansar tidak menyebut secara spesifik angka penjualan Lexus sepanjang tahun 2024. Namun tahun lalu penjualan Lexus Indonesia mencetak rekor di Asia Pasifik dengan tembus angka 2.000 unit. Tahun ini Bansar hanya mengatakan penjualan naik 33 persen. Maka dari itu dapat dihitung secara kasar bahwa penjualan Lexus Indonesia sampai dengan November 2024 sekitar 2.660-an unit. ",30/11/2024,OTOMOTIF
"Kisah Zefan, Lulus Cumlaude dari UB dan Langsung Kerja di Perusahaan Penerbangan","KOMPAS.com - Lulus dengan usia muda, mendapat gelar cumlaude, bahkan langsung diterima kerja tentu jadi impian banyak mahasiswa.Tak terkecuali Zefanya Putra Cinero Siagian. Ia merasa bangga dan bersyukur atas prestasi yang diraihnya pada wisuda Universitas Brawijaya (UB) periode 9, Sabtu (29/11/2024).Zefan, sapaan akrabnya, menjadi wisudawan termuda di usia 21 tahun dengan Indeks Prestasi Kumulatif (IPK) 3,80 dan menyelesaikan studi selama 3,5 tahun.Ia pun merasakan keberhasilan karena telah diterima bekerja di salah satu perusahaan aviasi atau penerbangan terkemuka di Indonesia.“Saya memang punya ketertarikan dengan dunia aviasi. Hobi melihat pesawat dari kecil. Jadi ini seperti cita-cita yang tercapai,” katanya, dilansir dari rilis UB.Baca juga: Cerita Prof. Surjono, Guru Besar IPB yang Baru Lulus S1 Hukum di Universitas TerbukaTerkait bisa langsung diterima kerja, ia mengaku mengikuti rekrutmen setelah ujian skripsi, kemudian mengikuti serangkaian tes, psikotes, FGD, dan interview.Hingga akhirnya dinyatakan lolos sebagai management trainee di perusahaan tersebut sebelum Ia diwisuda.“Prosesnya lumayan menegangkan. Perlu persiapan matang karena semua dilakukan menggunakan bahasa Inggris,” kata lulusan Teknik Industri Fakultas Teknik Universitas Brawijaya ini.Pencapaian Zefan tidak terlepas dari hasil kerja keras, ketekunan, dan kedisiplinan selama masa kuliah. Tantangan terbesar menurutnya adalah menjaga keseimbangan antara kuliah, organisasi, dan waktu istirahat.“Kuncinya adalah manajemen waktu, belajar efisien bukan belajar keras, dan jangan lupa istirahat, nongkrong dengan teman,” ungkapnya.Baca juga: Kementerian Transmigrasi dan LPDP Buka Beasiswa Patriot 2025 buat S2-S3Selama kuliah, pemuda asal Medan ini mengaku banyak terlibat di laboratorium IKD Teknik Industri UB. Di sana Ia banyak belajar mengenai fisika, gambar teknik, yang ilmunya terpakai hingga saat ini.Di laboratorium tersebut ia juga mengasah soft skill organisasinya hingga berkesempatan me-manage beberapa project atau event.Ia juga berkesempatan mengikuti Program Kreativitas Mahasiswa-Wirausaha, di mana inovasinya berhasil didanai DIKTI karena memanfaatkan limbah ampas tebu untuk mengurangi limbah plastik.Di sela-sela kesibukannya, Zefan juga menyukai games dan hiking. Ia bahkan pernah meraih Juara 1 Mobile Legend (Industrial Games yang diadakan Universitas Indonesia).Sedangkan hiking membuatnya bisa menyatu dengan alam dan mencari inspirasi baru untuk pencapaian ke depannya.“Ke depannya, saya ingin memiliki bisnis sendiri, dan saya rasa Teknik Industri dapat mengakomodasi keinginan saya. Karena di program studi tersebut saya belajar semua aspek bisnis dari awal hingga akhir, mulai dari forecasting hingga marketing,” pungkasnya.",30/11/2024,EDUKASI
Remaja Pembunuh Ayah dan Nenek di Lebak Bulus Jalani Tes Urine,"JAKARTA, KOMPAS.com - MAS (14), remaja pembunuh ayah dan nenek, APW (40) dan RM (60) di Lebak Bulus, Jakarta Selatan, menjalani tes urine usai ditangkap petugas Polsek Cilandak.""Sekarang dilakukan cek urine untuk sementara ini,"" ujar Kasi Humas Polres Metro Jakarta Selatan, AKP Nurma Dewi kepada wartawan, Sabtu (30/11/2024).Saat ini, kasus pembunuhan tersebut sudah dilimpahkan ke Polres Metro Jakarta Selatan, dan ditangani langsung oleh Unit Pelayanan Perempuan dan Anak (PPA).Pelibatan Unit PPA dalam penanganan kasus ini lantaran pelaku masih di bawah umur.""Pelaku anak berurusan dengan hukum (ABH) karena memang di bawah umur, 14 tahun usianya sekarang,"" ungkap dia.Baca juga: Fakta-fakta Remaja Bunuh Ayah dan Nenek di Lebak Bulus, Pelaku Tusuk Para Korban Tengah MalamHingga kini, petugas kepolisian masih memeriksa pelaku secara intensif. Kepolisian juga masih mendalami motif pelaku membunuh kedua korban.""Ini sudah diamankan, lagi digali dan dimintai keterangan kenapa, mengapa dan bagaimana kejadian terjadi,"" pungkas dia.Diberitakan sebelumnya, MAS membunuh ayah dan neneknya di kediaman mereka di Perumahan Taman Bona Indah, Blok B6, Lebak Bulus, Cilandask, Jakarta Selatan, Sabtu (30/11/2024).""Hari ini ada peristiwa pembunuhan yang dilakukan oleh seseorang yang sementara diduga oleh anak dari korban. Korban ada dua, yang meninggal dunia bapaknya dan neneknya,"" ujar Kapolsek Cilandak Kompol Febriman Sarlase saat dikonfirmasi.Pelaku didiga membunuh ayah dan neneknya menggunakan senjata tajam jenis pisau. Keduanya meninggal akibat beberapa tusukan di tubuhnya.Baca juga: Remaja yang Bunuh Ayah dan Neneknya di Lebak Bulus Sempat Kabur Sebelum DitangkapSaat petugas tiba di TKP, kedua korban ditemukan sudah dalam kondisi tak bernyawa di lantai dasar rumah.""Dua-duanya ada di lantai dasar,"" ujar Febriman.Pelaku juga menusuk ibunya, AP (40). Namun, sang ibu selamat dalam kondisi luka berat.""Untuk ibu sementara sudah kita bawa ke Rumah Sakit Fatmawati dalam keadaan luka berat,"" ujar dia.Pelaku saat ini sudah ditangkap dan tengah diperiksa di Polsek Cilandak.""Untuk data-data sedang kita susun oleh anggota. Untuk pelaku atau tersangka sudah diamankan di Polsek Cilandak,"" pungkas dia.",30/11/2024,NEWS
"Belum Ucapkan Selamat ke Paslon Lain, Dharma Pongrekun: Tunggu Hasil Resmi KPU","JAKARTA, KOMPAS.com - Calon gubernur DKI Jakarta nomor urut dua Dharma Pongrekun belum memberi ucapan untuk pasangan cagub dan cawagub, Pramono Anung-Rano Karno, yang telah mendeklarasikan kemenangan.Dharma juga belum memberikan ucapan kepada pasangan calon lainnya Ridwan Kamil - Suswono.  ""Sama sekali tidak benar dan belum pernah. Jadi kembali lagi saya tegaskan bahwa kami belum berpikir untuk hal-hal tersebut,"" kata Dharma di Bale Gotong Royong Dharma-Kun, Jumat (29/11/2024).Baca juga: Dharma Pongrekun: Harusnya 52 Persen Angka Real Kemenangan Kami, Bukan 10 Persen Dharma masih menunggu keputusan resmi dari Komisi Pemilihan Umum (KPU) soal kepastian putaran kedua. ""Saya tidak mau kira-kira. Silakan biar kita tunggu hasil dari KPU,"" ungkap Dharma.  Tak hanya itu, Dharma juga belum ingin mengagendakan pertemuan dengan paslon lain, karena masih menunggu keputusan resmi.  ""Karena pada prinsipnya kami berjuang ini hanya untuk kepentingan menyelamatkan jiwa manusia kok. Bukan sekadar ingin menikmati bagi-bagi kue, itu tujuan kami,"" ucap Dharma. Sebelumnya, hasil hitung cepat atau quick count Litbang Kompas Pilkada Jakarta 2024 menunjukkan, pasangan calon gubernur dan wakil gubernur RK-Suswono memperoleh 40,02 persen, Dharma-Kun memperoleh 10,49 persen, dan Pramono-Rano memperoleh 49,49 persen.Baca juga: Tim Pemenangan Yakin Pramono-Rano Akan Ajak Dharma-Kun untuk Bangun Jakarta Hasil tersebut diperoleh dari perhitungan data yang masuk sebesar 100 persen dari 400 sampling TPS.Quick count Litbang Kompas pada Pilkada Jakarta 2024 menggunakan metode systematic random sampling, dengan margin of error sebesar 1 persen.Sumber pembiayaan hitung cepat berasal dari Harian Kompas (PT Kompas Media Nusantara). Quick count ini bukanlah hasil resmi.KPU akan melakukan rekapitulasi suara secara berjenjang dari Rabu (27/11/2024) hingga Senin (16/12/2024). Hasil resmi Pilkada Jakarta 2024 akan menunggu penghitungan suara secara manual oleh KPU.",30/11/2024,NEWS
"Resep Wedang Sinden, Bantu Cegah Dampak Buruk Polusi Udara","KOMPAS.com - Polusi udara bisa berdampak buruk bagi tubuh. Selain mengganggu proses metabolisme, kualitas udara yang buruk juga bisa menyebabkan beragam penyakit, antara lain batuk, demam, dan flu.Selain minum obat dan berkonsultasi ke dokter, kamu bisa mencoba membuat minuman rempah yang bermanfaat bagi kesehatan. Salah satunya wedang sinden. Baca juga:Wedang sinden terbuat dari sejumlah bahan, di antaranya jahe, kencur, dan serai. Ketiganya bermanfaat sistem imun tubuh, sekaligus membantu mencegah dampak radikal bebas.Konon, wedang ini memperoleh namanya karena dulu kencur kerap dimakan oleh para sinden supaya suara mereka jernih. Kencur juga bermanfaat untuk membantu meredakan batuk berdahak dan sesak napas. Berikut resep wedang sinden, dikutip dari laman Kementerian Kesehatan, Sabtu (30/11/2024).Baca juga: Baca juga: A post shared by Foodplace (@my.foodplace)",30/11/2024,FOOD
Cara Menonaktifkan Fitur Autofill Password di Browser ,"KOMPAS.com - Fitur autofill password pada browser memudahkan pengguna menyimpan dan mengisi kata sandi secara otomatis saat login ke berbagai situs. Namun, tidak semua orang merasa nyaman dengan fitur ini karena risiko keamanan, terutama jika perangkat digunakan bersama atau terjadi kebocoran data. Maka dari itu untuk menjaga privasi atau mengelola kata sandi secara manual, Anda dapat menonaktifkan fitur ini. Lantas bagaimana caranya? Selengkapnya berikut ini KompasTekno merangkum langkah-langkah menonaktifkan fitur autofill di browser. Baca juga: 3 Cara Ganti Password Gmail yang Lupa dengan Mudah dan PraktisKompas.com/soffyaranti Ilustrasi cara menonaktifkan fitur autofill passwordHapus kata sandi tersimpan (Opsional)Demikian cara menonaktifkan fitur autofill password di browser, Google Chrome, Mozilla Firefox, Edge, hingga Safari. Semoga membantu. Baca juga: Perbedaan Cache dan Cookie dalam Browser InternetDapatkan update berita teknologi dan gadget pilihan setiap hari. Mari bergabung di Kanal WhatsApp KompasTekno. Caranya klik link https://whatsapp.com/channel/0029VaCVYKk89ine5YSjZh1a. Anda harus install aplikasi WhatsApp terlebih dulu di ponsel.",30/11/2024,TEKNO
[HOAKS] Link Bantuan Kuota Internet pada Oktober-Desember 2024,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Beredar tautan atau link mengenai cara mengeklaim kuota internet gratis yang diberikan pemerintah melalui Kementerian Pendidikan dan Kebudayaan (Kemendikbud).Pada masa pemerintahan Presiden Prabowo Subianto, kini berubah menjadi Kementerian Pendidikan, Dasar dan Menengah (Kemendikdasmen).Bantuan kuota data internet diklaim akan diberikan pada Oktober sampai Desember 2024.Berdasarkan penelusuran Tim Cek Fakta Kompas.com, informasi itu hoaks.Tautan untuk mengeklaim bantuan kuota internet dari Kemendikdasmen, disebarkan oleh akun Facebook ini, ini, ini, ini, ini, dan ini.Berikut narasi yang ditulis salah satu akun pada 26 Oktober 2024:sekedar info !!!BANTUAN KUOTA INTERNET DARI PEMERINTAH HADIR LAGI UNTUK TAHUN 2024Pemerintah Kembali Menyalurkan Bantuan Kuota Internet KEMENDIKBUD Bagi Siswa(i), Mahasiswa, Guru, Dan Dosen Guna Mendukung Pembelajaran Jarak Jauh (PJJ) Atau Belajar Online. Bantuan Tersebut Akan Mulai Diberikan Pada 01 oktober Hingga Akhir desember 2024 Mendatan.Bantuan Kouta Internet KEMENDIKBUD Ini Rencananya Akan Diberikan Kepada 45,7 Juta Siswa(i), Mahasiswa, Guru Dan Dosen. Anggarannya Rp 5,7 Triliun.Berikut Cara Kelam Bantuan Kuota Internet KEMENDIKBUDakun Facebook Tangkapan layar konten hoaks di sebuah akun Facebook, 26 Oktober 2024, berisi tautan untuk mengeklaim bantuan kuota internet dari Kemendikdasmen periode Oktober-Desember 2024.Melalui akun Instagram-nya, Kemendikdasmen membantah kebenaran informasi mengenai bantuan kuota internet.Pasalnya, penyaluran bantuan paket kuota data internet dari pemerintah sudah berakhir sejak Mei 2021.Tautan yang beredar diduga merupakan upaya phishing.""Harap waspada dengan kembali beredarnya informasi hoaks dan berpotensi pengelabuan (phishing) tentang bantuan kuota data internet dari Kemendikdasmen,"" tulisnya pada 15 November 2024.",30/11/2024,CEK FAKTA
BKN: Semua Peserta SKB CPNS 2024 Wajib Cetak Kartu Ujian,"KOMPAS.com - Seleksi calon pegawai negeri sipil (CPNS) akan memasuki tahapan seleksi kompetensi bidang (SKB). Menurut pengumuman BKN Nomor 02/PANPEL.BKN/CPNS/IX/2024, SKB CPNS dijadwalkan berlangsung pada 9-20 Desember 2024.Peserta yang akan mengikuti tes SKB, wajib membawa kartu ujian SKB CPNS 2024, bukan kartu ujian SKD CPNS yang digunakan sebelumnya.Plt. Kepala Biro Humas, Hukum, dan Kerjasama BKN Vino Dita Tama menjelaskan, dalam kartu ujian SKB akan tertera informasi seperti jadwal dan lokasi tes.""Iya, peserta wajib cetak kartu ujian SKB lagi, karena ada info lokasi dan jadwal seperti SKD sebelumnya,"" ujar Vino saat dihubungi Kompas.com, Sabtu (30/11/2024).Baca juga: Link Kisi-kisi SKB CPNS Kemenag 2024 untuk Setiap FormasiVino menegaskan, pencetakan kartu ujian SKB CPNS 2024 bisa dilakukan setelah instansi masing-masing telah merilis jadwal SKB.""Peserta bisa cetak kartu ujian kalau instansi sudah mengumumkan jadwal masing-masing pelamarnya,"" jelas dia.Lantas, bagaimana cara cetak kartu ujian SKN CPNS 2024?Baca juga: Temukan Kecurangan dalam Seleksi CPNS Kemenkumham? Laporkan ke SiniPeserta dapat mencetak kartu ujian SKB CPNS 2024 secara online di laman SSCASN. Cara cetak kartu ujian SKB CPNS 2024 sebagai berikut:Setelah itu, peserta dapat mengunduh dan melakukan cetak kartu ujian SKB CPNS 2024 masing-masing.Terkait dengan jadwal dan lokasi SKB, peserta dapat memantau informasi yang dirilis oleh instansi yang membuka lowongan CPNS 2024.Baca juga: Skor SKD CPNS Sama, Siapa yang Berhak Mengikuti SKB?Baca juga: Sistem Penilaian SKD CPNS: Skor TWK, TIU, dan TKP",30/11/2024,MONEY
"Inter Milan Siap Datangkan Mo Salah, Korbankan Tiga Pemain Depan","KOMPAS.com - Inter Milan dilaporkan siap untuk merespons jika Mohamed Salah menjadi pemain bebas transfer.Tiga pemain, termasuk bomber Iran Mehdi Taremi, bersiap untuk dikorbankan oleh I Nerazzurri.Winger Liverpool, Mohamed Salah, kini menjadi incaran klub besar Liga Italia, Inter Milan.Situasi masa depan Mo Salah di Liverpool masih belum jelas.Sampai saat ini, pihak The Reds belum mengambil keputusan apakah akan memberikan kontrak baru kepada Mo Salah atau tidak.Baca juga: Jelang Persib Vs Zhejiang : Catatan Evaluasi Hodak, Pertahanan MengecewakanKontrak pemain asal Mesir tersebut akan berakhir pada musim panas 2025.Jika tidak segera mendapatkan kontrak baru, Mo Salah bisa bebas untuk bernegosiasi dengan klub lain pada bursa transfer musim dingin 2025.Sejak bergabung dengan Liverpool pada musim panas 2017, Mo Salah telah menjadi pemain kunci.Kehadirannya berkontribusi pada kesuksesan Liverpool dalam meraih berbagai trofi bergengsi, termasuk Liga Inggris dan Liga Champions.Dia bahkan dianggap sebagai legenda oleh para pendukung The Reds karena kemampuannya mencetak gol.Sejauh ini, Mo Salah telah mencetak 223 gol dalam 368 penampilan selama lebih dari tujuh tahun di Anfield.Meski kini berusia 32 tahun, produktivitasnya tetap tinggi, menarik perhatian banyak klub untuk merekrutnya di bursa transfer musim panas 2025.Inter Milan berencana untuk membuat langkah nyata untuk merekrut Mo Salah pada bursa transfer mendatang.Strategi mereka adalah mendapatkan pemain dengan status bebas transfer, guna memperkuat lini depan.Meski memiliki duet Marcus Thuram dan Lautaro Martinez, kualitas pelapis mereka masih belum sebanding.",30/11/2024,BOLA
